Denominazione,Indirizzo,Telefono,Email,Sito web,Latitudine,Longitudine
Comune di Croviana,"Via di Carbonara, 26 - 38027 CROVIANA ",0463-901165,comune@comune.croviana.tn.it,http://www.comune.croviana.tn.it,46.345.046,10.904.678
Comune di Darè,Fraz. Darè n. 2 - 38080 Darè,0465-801057,,,,
Comune di Dimaro,Piazza G. Serra n.10 - 38025 Dimaro,0463-974101,comune@comune.dimaro.tn.it,www.comune.dimaro.tn.it/,,
Comune di Dro,"Via Torre, 1 - 38074 Dro",0464-545511,info@comunedro.it,www.comunedro.it/,45.962.248,10.911.223
Comune di Giustino,"Via Presanella, 26 - 38086 Giustino",0465-501074,segreteria@comunedigiustino.it,www.comunedigiustino.it/,,
Comune di Lavis,"Via G. Matteotti, 45 - 38015 Lavis",0461-248111,info@comunelavis.it ,http://www.comunelavis.it/joo.lavis/,46.152.724,11.110.497
Comune di Massimeno,Via della Chiesa n° 3 - 38080 Massimeno,0465-501247,c.massimeno@comuni.infotn.it,www.comune.massimeno.tn.it/servizicontattiemailsedi.html,,
Comune di Mezzocorona,"Piazza della Chiesa, 1 - 38016 Mezzocorona",0461-608111,info@comune.mezzocorona.tn.it,www.comune.mezzocorona.tn.it/home,46.230.678,11.12.011
Comune di Mezzolombardo,"Corso del Popolo, 17 - 38017 Mezzolombardo",0461-608200,info@comune.mezzolombardo.tn.it,http://www.comune.mezzolombardo.tn.it/,46.214.556,11.091.639
Comune di Novaledo,"Piazza Municipio, 7 - 38050 Novaledo",0461-721014,comune@comune.novaledo.tn.it,http://www.comune.novaledo.tn.it/,,
Comune di Ossana,Via Venezia 1 - 38026 Ossana,0463-750241; 0463-751363,protocollo@comune.ossana.tn.it,http://www.comuneossana.it/,,
Comune di Pergine Valsugana,"Piazza Municipio, 7 - 38057 Pergine Valsugana",0461-502111,protocollo@comune.pergine.tn.it,http://www.comune.pergine.tn.it/,46.088.472,11.248.398
Comune di Pinzolo,"Viale della Pace, 8 - 38086 Pinzolo",0465-509100,info@comune.pinzolo.tn.it,www.comune.pinzolo.tn.it/homepage     ,46.180.781,10.762.253
Comune di Ragoli,Via Roma 4/a - 38070 Ragoli,0465-321133,info@comune.ragoli.tn.it ,www.comune.ragoli.tn.it/,46.082.757,10.775.986
Comune di Riva del Garda,"Piazza 3 Novembre, 5, 38066 Riva del Garda",0464 573888,comune.rivadelgarda.tn.it@cert.legalmail.it,http://www.comune.rivadelgarda.tn.it/,,
Comune di Roncegno Terme,"Piazza Achille De Giovanni, 1 - 38050 Roncegno Terme",0461-764061,segreteria@comune.roncegnoterme.tn.it,www.comune.roncegnoterme.tn.it/,46.062.273,11.410.561
Comune di Ronchi Valsugana,"Via Marchi, 6 - 38050, Ronchi Valsugana (TN)",0461 764221,c.ronchivalsugana@comuni.infotn.it,http://www.comune.ronchi.tn.it/,,
Comune di Rovereto,"Palazzo Pretorio-Piazza del Podestà, 11 - 38068 Rovereto",0464-452111,segreteria@comune.rovereto.tn.it,www.comune.rovereto.tn.it/,,
Comune di Ruffrè-Mendola,"Maso Lana, 3 - 38010 Ruffrè-Mendola",0463-870004,info@comune.ruffre.tn.it,www.comune.ruffre.tn.it,46.425.552,11.180.534
Comune di Sarnonico,"via Mendola, 1 - 38011 Sarnonico",0463-831263,comune@comune.sarnonico.tn.it,http://www.comunesarnonico.it/,46.423.778,11.139.765
Comune di Torcegno,Piazza Maggiore 5 - 38050 Torcegno,0461-760777,c.torcegno@comuni.infotn.it ,http://www.comune.torcegno.tn.it/,46.091.329,11.447.525
Comune di Varena,"Via Mercato, 16 - 38030 Varena",0462-340343,info@comune.varena.tn.it,http://www.comune.varena.tn.it/,,
Comune di Vigo Rendena,"Via 4 Novembre, 10 - 38080 Vigo Rendena",0465-801123,,,46.100.852,10.715.561
Comune di Vigolo Vattaro,"P.zza del Popolo, 9 - 38049 Vigolo Vattaro",0461-848812,segreteria@comune.vigolo-vattaro.tn.it,www.comune.vigolovattaro.tn.it   ,46.036.063,11.211.319
Comune di Villalagarina,"Piazzetta E. Scrinzi 3,  - 38060 Villa Lagarina",0464-494222,info@comune.villalagarina.tn.it,http://www.comune.villalagarina.tn.it/,45.940.646,11.035.538
